Event,Date⇩,Event,Venue,Competitors,url,track_name,race_country
1999 Diesel UCI World Cup DH #4,27th Jun 1999,1999 Diesel UCI World Cup DH #4,"Big Bear Lake, CA, USA",99,https://www.rootsandrain.com/event843/1999-jun-27-diesel-uci-world-cup-dh-4-big-bear-lake-ca/,Big Bear Lake, USA
1999 Diesel UCI World Cup DH #3,6th Jun 1999,1999 Diesel UCI World Cup DH #3,"Nevegal, Italy",100,https://www.rootsandrain.com/event842/1999-jun-6-diesel-uci-world-cup-dh-3-nevegal/,Nevegal, Italy
1999 Diesel UCI World Cup DH #2,30th May 1999,1999 Diesel UCI World Cup DH #2,"Maribor, Slovenia",100,https://www.rootsandrain.com/event841/1999-may-30-diesel-uci-world-cup-dh-2-maribor/,Maribor, Slovenia
1999 Diesel UCI World Cup DH #1,23rd May 1999,1999 Diesel UCI World Cup DH #1,"Les Gets, France",100,https://www.rootsandrain.com/event840/1999-may-23-diesel-uci-world-cup-dh-1-les-gets/,Les Gets, France
2000 Tissot UCI World Cup DH #8,27th Aug 2000,2000 Tissot UCI World Cup DH #8,"Leysin, Switzerland",152,https://www.rootsandrain.com/event839/2000-aug-27-tissot-uci-world-cup-dh-8-leysin/,Leysin, Switzerland
2000 Tissot UCI World Cup DH #7,13th Aug 2000,2000 Tissot UCI World Cup DH #7,"Kaprun, Austria",180,https://www.rootsandrain.com/event838/2000-aug-13-tissot-uci-world-cup-dh-7-kaprun/,Kaprun, Austria
2000 Tissot UCI World Cup DH #6,23rd Jul 2000,2000 Tissot UCI World Cup DH #6,"Arai Mountain, Japan",66,https://www.rootsandrain.com/event837/2000-jul-23-tissot-uci-world-cup-dh-6-arai-mountain/,Arai Mountain, Japan
2000 Tissot UCI World Cup DH #5,16th Jul 2000,2000 Tissot UCI World Cup DH #5,"Vail, CO, USA",104,https://www.rootsandrain.com/event836/2000-jul-16-tissot-uci-world-cup-dh-5-vail-co/,Vail, USA
2000 Tissot UCI World Cup DH #4,2nd Jul 2000,2000 Tissot UCI World Cup DH #4,"Mont-Sainte-Anne, QC, Canada",110,https://www.rootsandrain.com/event835/2000-jul-2-tissot-uci-world-cup-dh-4-mont-sainte-anne-qc/,Mont-Sainte-Anne, Canada
UCI - DHI World Championships '00,11th Jun 2000,UCI - DHI World Championships '00,"Sierra Nevada, Spain",227,https://www.rootsandrain.com/event1451/2000-jun-11-uci-dhi-world-championships-00-sierra-nevada/,Sierra Nevada, Spain
