Name,Name,Run 1,sex,rider_country,race_country,Date,track_name
Pat MOREWOOD,Pat MOREWOOD,6:51.2983,Men,South African, Germany,23rd Sep 1995,Kirchzarten
Robin RUMBELOW,Robin RUMBELOW,6:51.6184,Men,South African, Germany,23rd Sep 1995,Kirchzarten
Paul PLUNKETT,Paul PLUNKETT,6:51.8185,Men,British, Germany,23rd Sep 1995,Kirchzarten
Bruce HAMLEY,Bruce HAMLEY,6:52.7186,Men,Australian, Germany,23rd Sep 1995,Kirchzarten
Markus PETSCHENIG,Markus PETSCHENIG,6:53.0087,Men,Austrian, Germany,23rd Sep 1995,Kirchzarten
Chris NOTT,Chris NOTT,6:53.2888,Men,New Zealand, Germany,23rd Sep 1995,Kirchzarten
Hideaki OGURA,Hideaki OGURA,6:53.9289,Men,Japanese, Germany,23rd Sep 1995,Kirchzarten
Miguel CALDAS GIOVANNIN,Miguel CALDAS GIOVANNIN,6:54.8990,Men,Brazilian, Germany,23rd Sep 1995,Kirchzarten
Mark WEAVER,Mark WEAVER,6:55.2091,Men,British, Germany,23rd Sep 1995,Kirchzarten
Chris LAWRENCE,Chris LAWRENCE,6:55.6392,Men,Canadian, Germany,23rd Sep 1995,Kirchzarten
Bengt JÖNSSON,Bengt JÖNSSON,6:56.3393,Men,Swedish, Germany,23rd Sep 1995,Kirchzarten
Pablo FARIAS,Pablo FARIAS,6:57.5394,Men,Argentinian, Germany,23rd Sep 1995,Kirchzarten
Michael GÖLLES,Michael GÖLLES,6:57.8095,Men,Austrian, Germany,23rd Sep 1995,Kirchzarten
Matt FARMER,Matt FARMER,6:58.3896,Men,British, Germany,23rd Sep 1995,Kirchzarten
Giovanni CASIRAGHI,Giovanni CASIRAGHI,6:58.8997,Men,Italian, Germany,23rd Sep 1995,Kirchzarten
Maichel LEMMENS,Maichel LEMMENS,6:59.6198,Men,Dutch, Germany,23rd Sep 1995,Kirchzarten
Christian LÄRNSÄTER,Christian LÄRNSÄTER,7:00.5499,Men,Swedish, Germany,23rd Sep 1995,Kirchzarten
Henrik LANGNER,Henrik LANGNER,7:01.09100,Men,Swedish, Germany,23rd Sep 1995,Kirchzarten
Gianluca LEO,Gianluca LEO,7:01.22101,Men,Sammarinese, Germany,23rd Sep 1995,Kirchzarten
Ron HAWS,Ron HAWS,7:01.43102,Men,Canadian, Germany,23rd Sep 1995,Kirchzarten
Ian ALLEN,Ian ALLEN,7:02.89103,Men,South African, Germany,23rd Sep 1995,Kirchzarten
Aleksander GRAVEL,Aleksander GRAVEL,7:05.90104,Men,Brazilian, Germany,23rd Sep 1995,Kirchzarten
Cyril VITALIEN,Cyril VITALIEN,7:06.36105,Men,French, Germany,23rd Sep 1995,Kirchzarten
Ricardo OLVERA,Ricardo OLVERA,7:08.79106,Men,Mexican, Germany,23rd Sep 1995,Kirchzarten
Erich FRÜHWIRTH,Erich FRÜHWIRTH,7:10.61107,Men,Austrian, Germany,23rd Sep 1995,Kirchzarten
Simon ELSTON,Simon ELSTON,7:10.90108,Men,Australian, Germany,23rd Sep 1995,Kirchzarten
Fernand SAND,Fernand SAND,7:11.87109,Men,Luxembourger, Germany,23rd Sep 1995,Kirchzarten
Karim AMOUR,Karim AMOUR,7:11.94110,Men,French, Germany,23rd Sep 1995,Kirchzarten
Warren NERI,Warren NERI,7:12.76111,Men,Mexican, Germany,23rd Sep 1995,Kirchzarten
Sjoerd REMMELINK,Sjoerd REMMELINK,7:14.93112,Men,Dutch, Germany,23rd Sep 1995,Kirchzarten
Serge VAN VUCHELEN,Serge VAN VUCHELEN,7:15.11113,Men,Belgian, Germany,23rd Sep 1995,Kirchzarten
Yasuhiro YANAGIHARA,Yasuhiro YANAGIHARA,7:16.19114,Men,Japanese, Germany,23rd Sep 1995,Kirchzarten
Ruben GARCIA,Ruben GARCIA,7:18.32115,Men,Mexican, Germany,23rd Sep 1995,Kirchzarten
Gert-Jan VAN RHEENEN,Gert-Jan VAN RHEENEN,7:19.76116,Men,Dutch, Germany,23rd Sep 1995,Kirchzarten
Jempy DRÜCKER,Jempy DRÜCKER,7:19.99117,Men,Luxembourger, Germany,23rd Sep 1995,Kirchzarten
Patrick DU BELLOY,Patrick DU BELLOY,7:24.29118,Men,Chilean, Germany,23rd Sep 1995,Kirchzarten
Roger KASK,Roger KASK,7:26.55119,Men,Swedish, Germany,23rd Sep 1995,Kirchzarten
Matt ELLIOTT,Matt ELLIOTT,7:27.71120,Men,New Zealand, Germany,23rd Sep 1995,Kirchzarten
Sheridan KING,Sheridan KING,7:27.72121,Men,New Zealand, Germany,23rd Sep 1995,Kirchzarten
Francisco CAMARGO,Francisco CAMARGO,7:28.98122,Men,Mexican, Germany,23rd Sep 1995,Kirchzarten
Michael JENTL,Michael JENTL,7:29.09123,Men,Austrian, Germany,23rd Sep 1995,Kirchzarten
Greg HERBOLD,Greg HERBOLD,7:29.89124,Men,American, Germany,23rd Sep 1995,Kirchzarten
Joao PACHECO,Joao PACHECO,7:29.98125,Men,Portuguese, Germany,23rd Sep 1995,Kirchzarten
Carlos CARRIEDO,Carlos CARRIEDO,7:33.08126,Men,Mexican, Germany,23rd Sep 1995,Kirchzarten
Damir KOVACIC,Damir KOVACIC,7:34.06127,Men,Croatian, Germany,23rd Sep 1995,Kirchzarten
Osvin MANOJLOVIC,Osvin MANOJLOVIC,7:35.03128,Men,Croatian, Germany,23rd Sep 1995,Kirchzarten
Carlo VANBRABANT,Carlo VANBRABANT,7:36.26129,Men,Belgian, Germany,23rd Sep 1995,Kirchzarten
Christopher WHITFIELD,Christopher WHITFIELD,7:36.56130,Men,British, Germany,23rd Sep 1995,Kirchzarten
Slaven GETOS,Slaven GETOS,7:38.22131,Men,Croatian, Germany,23rd Sep 1995,Kirchzarten
Julius SOMMERFELD,Julius SOMMERFELD,7:38.77132,Men,Brazilian, Germany,23rd Sep 1995,Kirchzarten
German RECIO,German RECIO,7:39.02133,Men,Colombian, Germany,23rd Sep 1995,Kirchzarten
Jose GIRON,Jose GIRON,7:39.74134,Men,Guatemalan, Germany,23rd Sep 1995,Kirchzarten
Sören L. JÖRGENSEN,Sören L. JÖRGENSEN,7:42.90135,Men,, Germany,23rd Sep 1995,Kirchzarten
Jan KOUTSKY,Jan KOUTSKY,7:43.51136,Men,Czech, Germany,23rd Sep 1995,Kirchzarten
Julio RAMOS,Julio RAMOS,7:44.94137,Men,Guatemalan, Germany,23rd Sep 1995,Kirchzarten
Caio Bennati SALERNO,Caio Bennati SALERNO,7:47.72138,Men,Brazilian, Germany,23rd Sep 1995,Kirchzarten
Javier MONTANO,Javier MONTANO,7:50.48139,Men,Bolivian, Germany,23rd Sep 1995,Kirchzarten
Angel VAZQUEZ,Angel VAZQUEZ,7:50.64140,Men,Mexican, Germany,23rd Sep 1995,Kirchzarten
Sebastian VASQUEZ CID,Sebastian VASQUEZ CID,7:54.44141,Men,Chilean, Germany,23rd Sep 1995,Kirchzarten
Richard MCGLYNN,Richard MCGLYNN,7:55.29142,Men,Irish, Germany,23rd Sep 1995,Kirchzarten
Ivo MATIAS,Ivo MATIAS,8:01.38143,Men,Portuguese, Germany,23rd Sep 1995,Kirchzarten
