,Name,Name.1,Run 1,sex,rider_country,race_country,Date,track_name,rider_country_new,home_race,run_time,race_id,percent_time_back,best_results,worst_results
230,Nicolas VOUILLOZ,Nicolas VOUILLOZ,5:31.941,Men,French,Australia,22nd Sep 1996,Cairns,France,0,5.53235,Cairns22nd Sep 1996,0.0,1,0
231,Shaun PALMER,Shaun PALMER,5:32.092,Men,American,Australia,22nd Sep 1996,Cairns,USA,0,5.534866666666667,Cairns22nd Sep 1996,0.04549001177920342,1,0
232,Bas DE BEVER,Bas DE BEVER,5:32.273,Men,Dutch,Australia,22nd Sep 1996,Cairns,Netherlands,0,5.537883333333333,Cairns22nd Sep 1996,0.10001777424299974,1,0
233,Eric CARTER,Eric CARTER,5:33.654,Men,American,Australia,22nd Sep 1996,Cairns,USA,0,5.5609,Cairns22nd Sep 1996,0.5160555640912001,1,0
234,Mike KING (pro),Mike KING (pro),5:34.375,Men,American,Australia,22nd Sep 1996,Cairns,USA,0,5.572916666666667,Cairns22nd Sep 1996,0.7332628388780016,1,0
235,Scott SHARPLES,Scott SHARPLES,5:34.386,Men,Australian,Australia,22nd Sep 1996,Cairns,Australia,1,5.5731,Cairns22nd Sep 1996,0.7365766807956753,1,0
236,Marcus KLAUSMANN,Marcus KLAUSMANN,5:35.837,Men,German,Australia,22nd Sep 1996,Cairns,Germany,0,5.597283333333333,Cairns22nd Sep 1996,1.1737025555746294,1,0
237,Jürgen BENEKE,Jürgen BENEKE,5:35.918,Men,German,Australia,22nd Sep 1996,Cairns,Germany,0,5.598633333333334,Cairns22nd Sep 1996,1.198104482423079,1,0
238,Sean MCCARROLL,Sean MCCARROLL,5:36.089,Men,Australian,Australia,22nd Sep 1996,Cairns,Australia,1,5.601483333333333,Cairns22nd Sep 1996,1.2496196613253518,1,0
239,Tomas MISSER,Tomas MISSER,5:36.1210,Men,Spanish,Australia,22nd Sep 1996,Cairns,Spain,0,5.602016666666667,Cairns22nd Sep 1996,1.2592599287222672,1,0
240,Michel JOSEPH,Michel JOSEPH,5:36.5111,Men,Swiss,Australia,22nd Sep 1996,Cairns,Switzerland,0,5.6085183333333335,Cairns22nd Sep 1996,1.376780813457823,1,0
241,Michael RONNING,Michael RONNING,5:36.6612,Men,Australian,Australia,22nd Sep 1996,Cairns,Australia,1,5.61102,Cairns22nd Sep 1996,1.4219996927164802,1,0
242,Brian LOPES,Brian LOPES,5:36.7413,Men,American,Australia,22nd Sep 1996,Cairns,USA,0,5.612355,Cairns22nd Sep 1996,1.4461304870443836,1,0
244,Steve PEAT,Steve PEAT,5:36.8915,Men,British,Australia,22nd Sep 1996,Cairns,UK,0,5.614858333333333,Cairns22nd Sep 1996,1.491379492138667,0,0
245,Corrado HERIN,Corrado HERIN,5:37.0016,Men,Italian,Australia,22nd Sep 1996,Cairns,Italy,0,5.616693333333333,Cairns22nd Sep 1996,1.5245480371511633,1,0
246,Gerwin PETERS,Gerwin PETERS,5:37.0917,Men,Dutch,Australia,22nd Sep 1996,Cairns,Netherlands,0,5.618195,Cairns22nd Sep 1996,1.5516914150406347,1,0
247,Pau MISSER,Pau MISSER,5:39.0818,Men,Spanish,Australia,22nd Sep 1996,Cairns,Spain,0,5.651363333333333,Cairns22nd Sep 1996,2.1512256696220033,1,0
248,Kirt VOREIS,Kirt VOREIS,5:39.3319,Men,American,Australia,22nd Sep 1996,Cairns,USA,0,5.655531666666667,Cairns22nd Sep 1996,2.2265703844960294,1,0
249,Stephane JANY,Stephane JANY,5:41.7020,Men,French,Australia,22nd Sep 1996,Cairns,France,0,5.695033333333333,Cairns22nd Sep 1996,2.940582814415804,1,0
250,John TOMAC,John TOMAC,5:41.9421,Men,American,Australia,22nd Sep 1996,Cairns,USA,0,5.699035,Cairns22nd Sep 1996,3.0129149457283066,1,0
251,Johan ENGSTRÖM,Johan ENGSTRÖM,5:42.0422,Men,Swedish,Australia,22nd Sep 1996,Cairns,Sweden,0,5.700703333333333,Cairns22nd Sep 1996,3.0430709071792794,1,0
252,Gianluca BONANOMI,Gianluca BONANOMI,5:42.2523,Men,Italian,Australia,22nd Sep 1996,Cairns,Italy,0,5.704205,Cairns22nd Sep 1996,3.106365287807167,0,0
253,Guillaume KOCH,Guillaume KOCH,5:42.2724,Men,French,Australia,22nd Sep 1996,Cairns,France,0,5.70454,Cairns22nd Sep 1996,3.1124205807658623,1,0
258,Karim AMOUR,Karim AMOUR,5:45.6229,Men,French,Australia,22nd Sep 1996,Cairns,France,0,5.7603816666666665,Cairns22nd Sep 1996,4.121786703058672,1,0
261,Will LONGDEN,Will LONGDEN,5:49.2832,Men,British,Australia,22nd Sep 1996,Cairns,UK,0,5.821386666666667,Cairns22nd Sep 1996,5.224482664087904,1,0
264,Cyril LAGNEAU,Cyril LAGNEAU,5:49.7835,Men,French,Australia,22nd Sep 1996,Cairns,France,0,5.829725,Cairns22nd Sep 1996,5.37520221967156,0,0
271,John KIRKCALDIE,John KIRKCALDIE,5:55.0642,Men,New Zealand,Australia,22nd Sep 1996,Cairns,New Zealand,0,5.917736666666666,Cairns22nd Sep 1996,6.966057221012156,0,0
278,Tim PONTING,Tim PONTING,6:00.4949,Men,British,Australia,22nd Sep 1996,Cairns,UK,0,6.008248333333333,Cairns22nd Sep 1996,8.602100975775805,0,0
292,David WATSON,David WATSON,6:07.8763,Men,Canadian,Australia,22nd Sep 1996,Cairns,Canada ,0,6.131271666666667,Cairns22nd Sep 1996,10.825809405888398,0,0
294,Masashi TAKEMOTO,Masashi TAKEMOTO,6:10.4065,Men,Japanese,Australia,22nd Sep 1996,Cairns,Japan,0,6.173441666666666,Cairns22nd Sep 1996,11.588053298628353,1,0
